0
num__Total Living Area
num__Assessed Land Area
num__Rooms
num__Year Built
num__Number Floors (Condo)
num__Water Frontage Measurement
num__Sewer Frontage Measurement
num__Dwelling Units
num__Centroid Lat
num__Centroid Lon
num__Age
num__Area_per_Room
num__Lot_to_Living_Ratio
num__Land_per_Unit
num__Water Frontage Present
num__Sewer Frontage Present
num__Days_Since_Assessment
cat__Neighbourhood Area_AMBER TRAILS
cat__Neighbourhood Area_ARCHWOOD
cat__Neighbourhood Area_ASSINIBOIA DOWNS
cat__Neighbourhood Area_BEAUMONT
cat__Neighbourhood Area_BETSWORTH
cat__Neighbourhood Area_BIRCHWOOD
cat__Neighbourhood Area_BOOTH
cat__Neighbourhood Area_BRIDGWATER CENTRE
cat__Neighbourhood Area_BRIDGWATER FOREST
cat__Neighbourhood Area_BRIDGWATER LAKES
cat__Neighbourhood Area_BRIDGWATER TRAILS
cat__Neighbourhood Area_BROADWAY-ASSINIBOINE
cat__Neighbourhood Area_BROCKVILLE
cat__Neighbourhood Area_BROOKLANDS
cat__Neighbourhood Area_BRUCE PARK
cat__Neighbourhood Area_BUCHANAN
cat__Neighbourhood Area_BURROWS CENTRAL
cat__Neighbourhood Area_BURROWS-KEEWATIN
cat__Neighbourhood Area_CANTERBURY PARK
cat__Neighbourhood Area_CENTENNIAL
cat__Neighbourhood Area_CENTRAL PARK
cat__Neighbourhood Area_CENTRAL RIVER HGTS
cat__Neighbourhood Area_CENTRAL ST BONIFACE
cat__Neighbourhood Area_CHALMERS
cat__Neighbourhood Area_CHEVRIER
cat__Neighbourhood Area_CRESCENT PARK
cat__Neighbourhood Area_CRESCENTWOOD
cat__Neighbourhood Area_CRESTVIEW
cat__Neighbourhood Area_DAKOTA CROSSING
cat__Neighbourhood Area_DANIEL McINTYRE
cat__Neighbourhood Area_DEER LODGE
cat__Neighbourhood Area_DUFFERIN
cat__Neighbourhood Area_EAGLEMERE
cat__Neighbourhood Area_EARL GREY
cat__Neighbourhood Area_EAST ELMWOOD
cat__Neighbourhood Area_EBBY-WENTWORTH
cat__Neighbourhood Area_EDGELAND
cat__Neighbourhood Area_ELM PARK
cat__Neighbourhood Area_ELMHURST
cat__Neighbourhood Area_ERIC COY
cat__Neighbourhood Area_EXCHANGE DISTRICT
cat__Neighbourhood Area_FAIRFIELD PARK
cat__Neighbourhood Area_FORT RICHMOND
cat__Neighbourhood Area_FRAIPONT
cat__Neighbourhood Area_GARDEN CITY
cat__Neighbourhood Area_GLENELM
